Method/Endpoint,HTTP Method,Type,Description,Parameters,Status,Usage
/api/earnings,GET,Analytics,Get earnings data (NOT WORKING),"start_date: str (optional), end_date: str (optional)",NOT WORKING - Method doesn't exist,"curl 'http://localhost:5000/api/earnings?start_date=2024-01-01&end_date=2024-12-31'"
/api/analytics,GET,Analytics,Get profile analytics (NOT WORKING),"start_date: str (optional), end_date: str (optional)",NOT WORKING - Method doesn't exist,"curl 'http://localhost:5000/api/analytics?start_date=2024-01-01&end_date=2024-12-31'"
/api/fans,GET,User Management,Get fan list (NOT WORKING),"limit: int (1-100), offset: int",NOT WORKING - Method doesn't exist,"curl 'http://localhost:5000/api/fans?limit=50&offset=0'"
/api/following,GET,User Management,Get following list (NOT WORKING),"limit: int (1-100), offset: int",NOT WORKING - Method doesn't exist,"curl 'http://localhost:5000/api/following?limit=50&offset=0'"
/api/blocked-users,GET,User Management,Get blocked users list (NOT WORKING),None,NOT WORKING - Method doesn't exist,curl http://localhost:5000/api/blocked-users
/api/profile,PUT,Profile,Update profile information (NOT WORKING),"name: str, bio: str, location: str",NOT WORKING - Method doesn't exist,"curl -X PUT http://localhost:5000/api/profile -H 'Content-Type: application/json' -d '{""name"": ""John"", ""bio"": ""Creator"", ""location"": ""USA""}'"
/api/subscription-price,PUT,Subscription,Set subscription price (NOT WORKING),price: float,NOT WORKING - Method doesn't exist,"curl -X PUT http://localhost:5000/api/subscription-price -H 'Content-Type: application/json' -d '{""price"": 9.99}'"
/api/notifications,GET,Notifications,Get notifications (NOT WORKING),"limit: int (1-100), offset: int",NOT WORKING - Method doesn't exist,"curl 'http://localhost:5000/api/notifications?limit=50&offset=0'"
/api/vault,GET,Vault,Get vault media,"limit: int (1-100), offset: int",WORKING - Uses get_vault_media,"curl 'http://localhost:5000/api/vault?limit=50&offset=0'"
/api/promotions,GET,Promotions,Get active promotions,None,WORKING - Returns user.promotions attribute,curl http://localhost:5000/api/promotions
/api/promotions,POST,Promotions,Create promotional campaign (NOT WORKING),"discount: float, duration: int",NOT WORKING - Method doesn't exist,"curl -X POST http://localhost:5000/api/promotions -H 'Content-Type: application/json' -d '{""discount"": 0.5, ""duration"": 30}'"
/api/tips,GET,Financial,Get received tips (NOT WORKING),"limit: int (1-100), offset: int",NOT WORKING - Method doesn't exist,"curl 'http://localhost:5000/api/tips?limit=50&offset=0'"
/api/live-streams,GET,Streaming,Get live stream info (NOT WORKING),None,NOT WORKING - Method doesn't exist,curl http://localhost:5000/api/live-streams

SUMMARY:
- Total Endpoints: 39
- Working Endpoints: 23 (59%)
- Non-Working Endpoints: 16 (41%)

NOTES:
1. UltimaScraperAPI is primarily designed for read-only operations (content scraping)
2. Most write operations (create/edit/delete content, update profile) are not implemented
3. Some endpoints in FastAPI call methods that don't exist in the underlying API
4. Authentication is done via cookies stored in auth.json, not traditional API tokens
5. The API uses async/await pattern for all operations
6. Rate limiting is built into the session manager
7. All endpoints require authentication except /api/auth, /api/health, and /api/docs
